user_id,age,gender,occupation,zip_code,age_group,username
68,19,M,student,22904,18-24,Troy Perry
69,24,M,engineer,55337,18-24,Amy Dearman
70,27,M,engineer,60067,25-34,Maranda Ellis
71,39,M,scientist,98034,35-49,Lori Myers
72,48,F,administrator,73034,35-49,Cynthia Okumura
73,24,M,student,41850,18-24,Lori Petela
74,39,M,scientist,T8H1N,35-49,Margie Coulter
75,24,M,entertainment,08816,18-24,Heather Moya
76,20,M,student,02215,18-24,David Woodward
77,30,M,technician,29379,25-34,George Strickland
78,26,M,administrator,61801,25-34,Elizabeth Birk
79,39,F,administrator,03755,35-49,Robert Englert
80,34,F,administrator,52241,25-34,Willie Kille
81,21,M,student,21218,18-24,Kasey Auiles
82,50,M,programmer,22902,50-64,Maggie Vasquez
83,40,M,other,44133,35-49,Barbara Arredondo
84,32,M,executive,55369,25-34,Antonio Gertz
85,51,M,educator,20003,50-64,Keith Simmons
86,26,M,administrator,46005,25-34,Rita Barkley
87,47,M,administrator,89503,35-49,Dora Mendez
88,49,F,librarian,11701,35-49,Mildred Young
89,43,F,administrator,68106,35-49,Eric Morelli
90,60,M,educator,78155,50-64,David Feazel
91,55,M,marketing,01913,50-64,Gabriela Nolen
92,32,M,entertainment,80525,25-34,James Norman
93,48,M,executive,23112,35-49,Clayton Walsh
94,26,M,student,71457,25-34,Stanley Scott
95,31,M,administrator,10707,25-34,Bruce Jones
96,25,F,artist,75206,25-34,Sharon Michael
97,43,M,artist,98006,35-49,Sonya Darby
98,49,F,executive,90291,35-49,Linda Jones
99,20,M,student,63129,18-24,Erik Sholtis
100,36,M,executive,90254,35-49,Ericka Kehoe
101,15,M,student,05146,Under 18,James Dambrosio
102,38,M,programmer,30220,35-49,James Fisher
103,26,M,student,55108,25-34,Kelly Jones
104,27,M,student,55108,25-34,Marie Andren
105,24,M,engineer,94043,18-24,Caroline Kenyon
106,61,M,retired,55125,50-64,Lester Guzma
107,39,M,scientist,60466,35-49,Shawn James
108,44,M,educator,63130,35-49,Dennis Lane
109,29,M,other,55423,25-34,Fay Gutierrez
110,19,M,student,77840,18-24,Clarence Mcintire
111,57,M,engineer,90630,50-64,Alvin Jovich
112,30,M,salesman,60613,25-34,Daniel Buntrock
113,47,M,executive,95032,35-49,Richard Hunter
114,27,M,programmer,75013,25-34,Angel Bonneville
115,31,M,engineer,17110,25-34,Sanford Pickering
116,40,M,healthcare,97232,35-49,William Patton
117,20,M,student,16125,18-24,Thomas Cates
118,21,M,administrator,90210,18-24,Marian Shafer
119,32,M,programmer,67401,25-34,Rodney Soto
120,47,F,other,06260,35-49,Arthur Brantner
121,54,M,librarian,99603,50-64,Jimmy Killian
122,32,F,writer,22206,25-34,Nina Whitfield
123,48,F,artist,20008,35-49,Charles Higgins
124,34,M,student,60615,25-34,Kellie Tappan
125,30,M,lawyer,22202,25-34,Charlotte Cranford
126,28,F,lawyer,20015,25-34,Beatriz Perry
127,33,M,none,73439,25-34,Denice Towell
128,24,F,marketing,20009,18-24,Manuel Brock
129,36,F,marketing,07039,35-49,Janett Brown
130,20,M,none,60115,18-24,Lilia Barnhill
131,59,F,administrator,15237,50-64,Andrew Pitts
132,24,M,other,94612,18-24,Iva Shelby
133,53,M,engineer,78602,50-64,Arline Sengbusch
134,31,M,programmer,80236,25-34,Lisa Bevins
135,23,M,student,38401,18-24,Mae Paris
136,51,M,other,97365,50-64,Sara Taylor
137,50,M,educator,84408,50-64,Esther Pallazzo
138,46,M,doctor,53211,35-49,Carl Aronow
139,20,M,student,08904,18-24,James Lajaunie
140,30,F,student,32250,25-34,Robert Medina
141,49,M,programmer,36117,35-49,Elaine Wiggins
142,13,M,other,48118,Under 18,Francis Wells
143,42,M,technician,08832,35-49,Robert Cantella
144,53,M,programmer,20910,50-64,Robert Cannon
145,31,M,entertainment,V3N4P,25-34,Byron Hull
146,45,M,artist,83814,35-49,Manuela Jacobson
147,40,F,librarian,02143,35-49,Dennis King
148,33,M,engineer,97006,25-34,Jeff Blakely
149,35,F,marketing,17325,35-49,Tom Washington
150,20,F,artist,02139,18-24,Jennifer Colter
151,38,F,administrator,48103,35-49,Dawn Lutz
152,33,F,educator,68767,25-34,Rosario Lee
153,25,M,student,60641,25-34,Denise Blalock
154,25,M,student,53703,25-34,Guy Martin
155,32,F,other,11217,25-34,Daniel Saur
156,25,M,educator,08360,25-34,Patricia Hogue
157,57,M,engineer,70808,50-64,Martha Keniston
158,50,M,educator,27606,50-64,Jonathan Osborn
159,23,F,student,55346,18-24,Salvador Foster
160,27,M,programmer,66215,25-34,Joan Christo
161,50,M,lawyer,55104,50-64,Renee Ney
162,25,M,artist,15610,25-34,Michael Stewart
163,49,M,administrator,97212,35-49,Roberta Bartlett
164,47,M,healthcare,80123,35-49,Gerald Jenkins
165,20,F,other,53715,18-24,Frank Bruley
166,47,M,educator,55113,35-49,Rachael Vasquez
167,37,M,other,L9G2B,35-49,Edward Jackson
168,48,M,other,80127,35-49,Christopher Gamble
169,52,F,other,53705,50-64,Samuel Jorgenson
170,53,F,healthcare,30067,50-64,Richard Hendrickson
171,48,F,educator,78750,35-49,Daniel Davis
172,55,M,marketing,22207,50-64,Charles Reed
173,56,M,other,22306,50-64,Garland Scontras
174,30,F,administrator,52302,25-34,Henry Mendoza
175,26,F,scientist,21911,25-34,Alicia Phillips
176,28,M,scientist,07030,25-34,Maria Bentson
177,20,M,programmer,19104,18-24,Edmundo Blash
178,26,M,other,49512,25-34,Mary Hill
179,15,M,entertainment,20755,Under 18,Sherry Carter
180,22,F,administrator,60202,18-24,Crystal Ring
181,26,M,executive,21218,25-34,Lisa Delay
182,36,M,programmer,33884,35-49,Jack President
183,33,M,scientist,27708,25-34,Lois Digsby
184,37,M,librarian,76013,35-49,Tammy Umbaugh
185,53,F,librarian,97403,50-64,Clifford Kellogg
186,39,F,executive,00000,35-49,Robert Mcrae
187,26,M,educator,16801,25-34,Shawn Rhodes
188,42,M,student,29440,35-49,Heather Coffey
189,32,M,artist,95014,25-34,Jon Cox
190,30,M,administrator,95938,25-34,Troy Gamble
191,33,M,administrator,95161,25-34,Gregory Walks
192,42,M,educator,90840,35-49,Jonathan Kimbrell
193,29,M,student,49931,25-34,Carrie Dickerson
194,38,M,administrator,02154,35-49,Joseph Dietz
195,42,M,scientist,93555,35-49,James Girard
196,49,M,writer,55105,35-49,Stephanie Rivers
197,55,M,technician,75094,50-64,Angela Contreras
198,21,F,student,55414,18-24,Helen Williams
199,30,M,writer,17604,25-34,Margaret Connor
200,40,M,programmer,93402,35-49,Todd Rogers
201,27,M,writer,E2A4H,25-34,Danielle Ward
202,41,F,educator,60201,35-49,Helen Mash
203,25,F,student,32301,25-34,Mary Roach
204,52,F,librarian,10960,50-64,Ruby Beavers
205,47,M,lawyer,06371,35-49,Andres Reichert
206,14,F,student,53115,Under 18,Jennifer Jennings
207,39,M,marketing,92037,35-49,Julie Torbert
208,43,M,engineer,01720,35-49,Joseph Myers
209,33,F,educator,85710,25-34,Margaret Dejohn
210,39,M,engineer,03060,35-49,Betty Infante
211,66,M,salesman,32605,65+,Hilda Payne
212,49,F,educator,61401,35-49,Paul White
213,33,M,executive,55345,25-34,Ruth Jacobs
214,26,F,librarian,11231,25-34,Geraldine Cavender
215,35,M,programmer,63033,35-49,Danny Millis
216,22,M,engineer,02215,18-24,Scott Haber
217,22,M,other,11727,18-24,Walter Mejia
218,37,M,administrator,06513,35-49,Delbert Hancock
219,32,M,programmer,43212,25-34,Loretta Berrios
220,30,M,librarian,78205,25-34,Shaneka Mendoza
221,19,M,student,20685,18-24,Cristobal Monroe
222,29,M,programmer,27502,25-34,Robert Rathbone
223,19,F,student,47906,18-24,Tony Murdock
224,31,F,educator,43512,25-34,Carolyn Gleason
225,51,F,administrator,58202,50-64,Wendy Woodside
226,28,M,student,92103,25-34,Eleanor Thomas
227,46,M,executive,60659,35-49,Robert Czelusniak
228,21,F,student,22003,18-24,Todd Christie
229,29,F,librarian,22903,25-34,Donald Greenberg
230,28,F,student,14476,25-34,Cynthia Smith
231,48,M,librarian,01080,35-49,Katrina Ross
232,45,M,scientist,99709,35-49,Jeffrey Fletcher
233,38,M,engineer,98682,35-49,Edna Johnson
234,60,M,retired,94702,50-64,Melvin Surbaugh
235,37,M,educator,22973,35-49,Emerson Goetz
236,44,F,writer,53214,35-49,Timothy Lorino
237,49,M,administrator,63146,35-49,Mark Ballard
238,42,F,administrator,44124,35-49,Jacqueline Son
239,39,M,artist,95628,35-49,Martha Fowler
240,23,F,educator,20784,18-24,Sheila Saldivar
241,26,F,student,20001,25-34,Bernard Guevara
242,33,M,educator,31404,25-34,William Kelly
243,33,M,educator,60201,25-34,Joseph Odonnell
244,28,M,technician,80525,25-34,Harold Christensen
245,22,M,student,55109,18-24,Gerald Delaney
246,19,M,student,28734,18-24,Denise Harris
247,28,M,engineer,20770,25-34,Melissa Musso
248,25,M,student,37235,25-34,Tracy Copstead
249,25,M,student,84103,25-34,April Hunter
250,29,M,executive,95110,25-34,Abigail Frazier
251,28,M,doctor,85032,25-34,Garth Foster
252,42,M,engineer,07733,35-49,Sandra Jones
253,26,F,librarian,22903,25-34,Sarah Bratcher
254,44,M,educator,42647,35-49,Anita Cleghorn
255,23,M,entertainment,07029,18-24,Maxine Gay
256,35,F,none,39042,35-49,Aida Grimm
257,17,M,student,77005,Under 18,Norma Adkins
258,19,F,student,77801,18-24,Kenneth Lopez
259,21,M,student,48823,18-24,Victoria Gordy
260,40,F,artist,89801,35-49,Thomas Almanzar
261,28,M,administrator,85202,25-34,Darrell Griggs
262,19,F,student,78264,18-24,Melissa Godoy
263,41,M,programmer,55346,35-49,Maurice Young
264,36,F,writer,90064,35-49,Dorothy Bauer
265,26,M,executive,84601,25-34,Angel Duncan
266,62,F,administrator,78756,50-64,Roberta Greer
267,23,M,engineer,83716,18-24,Tara Gonsales
268,24,M,engineer,19422,18-24,Richard Diaz
269,31,F,librarian,43201,25-34,Hilda Joshi
270,18,F,student,63119,18-24,Jenny Tartaglione
271,51,M,engineer,22932,50-64,Marlene Hart
272,33,M,scientist,53706,25-34,Joe Richards
273,50,F,other,10016,50-64,Katharine Palos
274,20,F,student,55414,18-24,Elsie Frost
275,38,M,engineer,92064,35-49,Derrick Reuter
276,21,M,student,95064,18-24,Barbara Beers
277,35,F,administrator,55406,35-49,Ronald Vanness
278,37,F,librarian,30033,35-49,Carol Trimble
279,33,M,programmer,85251,25-34,Jesus Howard
280,30,F,librarian,22903,25-34,Jamie Garafano
281,15,F,student,06059,Under 18,Valerie Millender
282,22,M,administrator,20057,18-24,Gary Silva
283,28,M,programmer,55305,25-34,Antonio Hatch
284,40,M,executive,92629,35-49,Paul Gilmore
285,25,M,programmer,53713,25-34,Janet Daniell
286,27,M,student,15217,25-34,Bonnie Fox
287,21,M,salesman,31211,18-24,Cecil Carter
288,34,M,marketing,23226,25-34,Wayne Outwater
289,11,M,none,94619,Under 18,Neal Geddes
290,40,M,engineer,93550,35-49,John Conrad
291,19,M,student,44106,18-24,James Taylor
292,35,F,programmer,94703,35-49,Lizbeth Meisner
293,24,M,writer,60804,18-24,Elizabeth Polk
294,34,M,technician,92110,25-34,Wilburn Derentis
295,31,M,educator,50325,25-34,Deanne Butler
296,43,F,administrator,16803,35-49,Danielle Giorgio
297,29,F,educator,98103,25-34,Tyler Bavaro
298,44,M,executive,01581,35-49,Joan Klein
299,29,M,doctor,63108,25-34,Lorenzo Haun
300,26,F,programmer,55106,25-34,Alison Walker
301,24,M,student,55439,18-24,Ricky Sims
302,42,M,educator,77904,35-49,Tommy Lue
303,19,M,student,14853,18-24,Son Mauldin
304,22,F,student,71701,18-24,Erica Ramsey
305,23,M,programmer,94086,18-24,Linda Kinney
306,45,M,other,73132,35-49,Norma Carter
307,25,M,student,55454,25-34,Scott Wood
308,60,M,retired,95076,50-64,Brandy Darling
309,40,M,scientist,70802,35-49,Gary Riggie
310,37,M,educator,91711,35-49,Harry Holtgrewe
311,32,M,technician,73071,25-34,Valerie Falgoust
312,48,M,other,02110,35-49,Vernon Noble
313,41,M,marketing,60035,35-49,Glenn Kelly
314,20,F,student,08043,18-24,Veronica Leslie
315,31,M,educator,18301,25-34,Eric Scales
316,43,F,other,77009,35-49,Carolyn Pierce
317,22,M,administrator,13210,18-24,Shirley Sharp
318,65,M,retired,06518,65+,Marilyn Carlton
319,38,M,programmer,22030,35-49,Walter Copeland
320,19,M,student,24060,18-24,Carolyn Smith
321,49,F,educator,55413,35-49,Pete Escutia
322,20,M,student,50613,18-24,Michael Ruhlin
323,21,M,student,19149,18-24,Myrtle Taylor
324,21,F,student,02176,18-24,Bonnie Cheeseman
325,48,M,technician,02139,35-49,Vernon Reyes
326,41,M,administrator,15235,35-49,Pedro Foster
327,22,M,student,11101,18-24,Edith Runyan
328,51,M,administrator,06779,50-64,Kenneth Rayford
329,48,M,educator,01720,35-49,Paola Weddington
330,35,F,educator,33884,35-49,Kevin Oneil
331,33,M,entertainment,91344,25-34,Francisco Adair
332,20,M,student,40504,18-24,Kenneth Harper
333,47,M,other,V0R2M,35-49,Mickey Santos
334,32,M,librarian,30002,25-34,Josh Clayton
335,45,M,executive,33775,35-49,Yoshiko Robbins
336,23,M,salesman,42101,18-24,Rex Taylor
337,37,M,scientist,10522,35-49,Madeline Grant
338,39,F,librarian,59717,35-49,Gail Egan
339,35,M,lawyer,37901,35-49,Billy Milligan
340,46,M,engineer,80123,35-49,Manuel Avenoso
341,17,F,student,44405,Under 18,George Gill
342,25,F,other,98006,25-34,Gerald Getzschman
343,43,M,engineer,30093,35-49,Catherine Gallaher
344,30,F,librarian,94117,25-34,Margaret Haywood
345,28,F,librarian,94143,25-34,Lucy Penland
346,34,M,other,76059,25-34,Bruce Carstarphen
347,18,M,student,90210,18-24,Donald Montz
348,24,F,student,45660,18-24,Kelly Hurrington
349,68,M,retired,61455,65+,Arnold Garrison
350,32,M,student,97301,25-34,Mary Blackwell
351,61,M,educator,49938,50-64,Gretchen Robinson
352,37,F,programmer,55105,35-49,Chad Bevins
353,25,M,scientist,28480,25-34,Leroy Kelley
354,29,F,librarian,48197,25-34,Jeannie Card
355,25,M,student,60135,25-34,Samuel Andrews
356,32,F,homemaker,92688,25-34,Vanessa Johnson
357,26,M,executive,98133,25-34,Nikki Jacobs
358,40,M,educator,10022,35-49,Robert Gonzales
359,22,M,student,61801,18-24,Leslie Guevara
360,51,M,other,98027,50-64,Caroline Seitz
361,22,M,student,44074,18-24,Michael Faley
362,35,F,homemaker,85233,35-49,Joseph Lowe
363,20,M,student,87501,18-24,Courtney Phillis
364,63,M,engineer,01810,50-64,Mary Knaus
365,29,M,lawyer,20009,25-34,Jack Hayden
366,20,F,student,50670,18-24,Chrissy Carpenter
367,17,M,student,37411,Under 18,Michael Hodge
368,18,M,student,92113,18-24,Reynaldo Johns
369,24,M,student,91335,18-24,Pierre Orton
370,52,M,writer,08534,50-64,Felipe Anderson
371,36,M,engineer,99206,35-49,David Fryson
372,25,F,student,66046,25-34,James Ebinger
373,24,F,other,55116,18-24,Sean Davis
374,36,M,executive,78746,35-49,Lois Luchesi
375,17,M,entertainment,37777,Under 18,Betty Bodo
376,28,F,other,10010,25-34,Patrick Dukes
377,22,M,student,18015,18-24,Mark Treadway
378,35,M,student,02859,35-49,Neil Key
379,44,M,programmer,98117,35-49,Michele Lamont
380,32,M,engineer,55117,25-34,Barbara Jacobs
381,33,M,artist,94608,25-34,Anthony Tilbury
382,45,M,engineer,01824,35-49,Kyle Slonaker
383,42,M,administrator,75204,35-49,Jennifer Boyd
384,52,M,programmer,45218,50-64,Sarah James
385,36,M,writer,10003,35-49,Irene Martin
386,36,M,salesman,43221,35-49,Peter Burton
387,33,M,entertainment,37412,25-34,Charlene Hatley
388,31,M,other,36106,25-34,Clifton Ball
389,44,F,writer,83702,35-49,Maggie Smith
390,42,F,writer,85016,35-49,Sonny Warden
391,23,M,student,84604,18-24,Bradley Hyun
392,52,M,writer,59801,50-64,Denise Michalski
393,19,M,student,83686,18-24,James Moses
394,25,M,administrator,96819,25-34,Thomas Davis
395,43,M,other,44092,35-49,Sarah Bird
396,57,M,engineer,94551,50-64,Vanessa Lamboy
397,17,M,student,27514,Under 18,Mildred Friesenhahn
398,40,M,other,60008,35-49,William Ervin
399,25,M,other,92374,25-34,Luis Dean
400,33,F,administrator,78213,25-34,Sheila Hawkins
401,46,F,healthcare,84107,35-49,Mark Morris
402,30,M,engineer,95129,25-34,Janice Ortiz
403,37,M,other,06811,35-49,Nancy Hernandez
404,29,F,programmer,55108,25-34,Todd Haines
405,22,F,healthcare,10019,18-24,Mary Jackson
406,52,M,educator,93109,50-64,Reyes Carrera
407,29,M,engineer,03261,25-34,Eddie Smith
408,23,M,student,61755,18-24,Lourdes Firpo
409,48,M,administrator,98225,35-49,Robert Holton
410,30,F,artist,94025,25-34,William Birdsong
411,34,M,educator,44691,25-34,Michael Johns
412,25,M,educator,15222,25-34,George Vargas
413,55,M,educator,78212,50-64,Mabel Caminiti
414,24,M,programmer,38115,18-24,Larry Russi
415,39,M,educator,85711,35-49,Alphonse Mosconi
416,20,F,student,92626,18-24,Shirley Crandall
417,27,F,other,48103,25-34,Jessica Risch
418,55,F,none,21206,50-64,Sherry Bisson
419,37,M,lawyer,43215,35-49,Nancy Jensen
420,53,M,educator,02140,50-64,Ann Smith
421,38,F,programmer,55105,35-49,Marlyn Ruple
422,26,M,entertainment,94533,25-34,Edward Lopez
423,64,M,other,91606,50-64,Amy Krueger
424,36,F,marketing,55422,35-49,Martha Reed
425,19,M,student,58644,18-24,Robyn Crownover
426,55,M,educator,01602,50-64,Sheila Gonzalez
427,51,M,doctor,85258,50-64,Sandi Carrol
428,28,M,student,55414,25-34,Gary Glazier
429,27,M,student,29205,25-34,William Sandlin
430,38,M,scientist,98199,35-49,Mary Bostick
431,24,M,marketing,92629,18-24,Shawn Peck
432,22,M,entertainment,50311,18-24,Shelia Fallon
433,27,M,artist,11211,25-34,Charlotte Zavala
434,16,F,student,49705,Under 18,Clayton Andaya
435,24,M,engineer,60007,18-24,Stephanie Brune
436,30,F,administrator,17345,25-34,Lawrence Gause
437,27,F,other,20009,25-34,Michael Neumann
438,51,F,administrator,43204,50-64,Theresa Sanders
439,23,F,administrator,20817,18-24,Don Marr
440,30,M,other,48076,25-34,Matha Zimmerman
441,50,M,technician,55013,50-64,Joann Starkey
442,22,M,student,85282,18-24,Winifred Pastor
443,35,M,salesman,33308,35-49,Richard Sanchez
444,51,F,lawyer,53202,50-64,Caleb Williams
445,21,M,writer,92653,18-24,Charles Staton
446,57,M,educator,60201,50-64,Linda Graham
447,30,M,administrator,55113,25-34,Megan Allard
448,23,M,entertainment,10021,18-24,Mary Wheeler
449,23,M,librarian,55021,18-24,Kyle Allison
450,35,F,educator,11758,35-49,Marilyn Miles
451,16,M,student,48446,Under 18,Mildred Keyes
452,35,M,administrator,28018,35-49,Terrence Harper
453,18,M,student,06333,18-24,Megan Rickert
454,57,M,other,97330,50-64,Abe Kimble
455,48,M,administrator,83709,35-49,Thelma Colucci
456,24,M,technician,31820,18-24,Alison Lopez
457,33,F,salesman,30011,25-34,David Taylor
458,47,M,technician,Y1A6B,35-49,Thelma Hollandsworth
459,22,M,student,29201,18-24,Janie Jackson
460,44,F,other,60630,35-49,Jo Nicolls
461,15,M,student,98102,Under 18,Anita Davis
462,19,F,student,02918,18-24,Jeffrey Borjon
463,48,F,healthcare,75218,35-49,Georgette Abdullah
464,60,M,writer,94583,50-64,Jimmy Acosta
465,32,M,other,05001,25-34,Mary Davis
466,22,M,student,90804,18-24,Thomas Wilder
467,29,M,engineer,91201,25-34,Norma Priest
468,28,M,engineer,02341,25-34,John Satterfield
469,60,M,educator,78628,50-64,Dee Turner
470,24,M,programmer,10021,18-24,Daniel Knauf
471,10,M,student,77459,Under 18,Megan Morgan
472,24,M,student,87544,18-24,Maria Wilson
473,29,M,student,94708,25-34,Giovanni Moreno
474,51,M,executive,93711,50-64,Fannie Downes
475,30,M,programmer,75230,25-34,Emely Miller
476,28,M,student,60440,25-34,Helen Gadwah
477,23,F,student,02125,18-24,William Rogers
478,29,M,other,10019,25-34,Brent Jones
479,30,M,educator,55409,25-34,Jane Cota
480,57,M,retired,98257,50-64,Brandy Penrod
481,73,M,retired,37771,65+,Cary Leyva
482,18,F,student,40256,18-24,Jeff Hoover
483,29,M,scientist,43212,25-34,Maria Finkel
484,27,M,student,21208,25-34,Peter Stuart
485,44,F,educator,95821,35-49,Gus Ohlsen
486,39,M,educator,93101,35-49,Ronald Hinson
487,22,M,engineer,92121,18-24,Susan Bunton
488,48,M,technician,21012,35-49,Donald Turrie
489,55,M,other,45218,50-64,William West
490,29,F,artist,V5A2B,25-34,Julie Rodriguez
491,43,F,writer,53711,35-49,Virginia Perez
492,57,M,educator,94618,50-64,Michael Jarman
493,22,M,engineer,60090,18-24,Kimberly Hughes
494,38,F,administrator,49428,35-49,Stephanie Martin
495,29,M,engineer,03052,25-34,Grant Tillotson
496,21,F,student,55414,18-24,Teddy Holmes
497,20,M,student,50112,18-24,Christine Baxter
498,26,M,writer,55408,25-34,Charisse Elzey
499,42,M,programmer,75006,35-49,Richard Hoyman
500,28,M,administrator,94305,25-34,Tracy Vaughn
501,22,M,student,10025,18-24,Roy Dorf
502,22,M,student,23092,18-24,Luis Gamino
503,50,F,writer,27514,50-64,Carlton Bratcher
504,40,F,writer,92115,35-49,Johnnie Knotts
505,27,F,other,20657,25-34,Jermaine Laymon
506,46,M,programmer,03869,35-49,William Leeper
507,18,F,writer,28450,18-24,Roy Keith
508,27,M,marketing,19382,25-34,Onita Pierce
509,23,M,administrator,10011,18-24,Lisa Souffrant
510,34,M,other,98038,25-34,Angela Sizer
511,22,M,student,21250,18-24,Geraldine Nelson
512,29,M,other,20090,25-34,Jeffrey Lee
513,43,M,administrator,26241,35-49,Harold Harris
514,27,M,programmer,20707,25-34,Kevin Rodriquez
515,53,M,marketing,49508,50-64,Ina Ahrenholtz
516,53,F,librarian,10021,50-64,Russell Evans
517,24,M,student,55454,18-24,Sonia Gillespie
518,49,F,writer,99709,35-49,James Hermanson
519,22,M,other,55320,18-24,Allen Linderman
520,62,M,healthcare,12603,50-64,Mario Campos
521,19,M,student,02146,18-24,Eleanor Campbell
522,36,M,engineer,55443,35-49,Alejandra Dansby
523,50,F,administrator,04102,50-64,Guy Shade
524,56,M,educator,02159,50-64,Hilaria Ahuna
525,27,F,administrator,19711,25-34,Lidia Fiore
526,30,M,marketing,97124,25-34,Elizabeth Ecklund
527,33,M,librarian,12180,25-34,Paula Duff
528,18,M,student,55104,18-24,Laurie Vasquez
529,47,F,administrator,44224,35-49,Stewart Borden
530,29,M,engineer,94040,25-34,Donald Constantini
531,30,F,salesman,97408,25-34,Michael Rusher
532,20,M,student,92705,18-24,Thomas Smithson
533,43,M,librarian,02324,35-49,Corey Gaden
534,20,M,student,05464,18-24,James Tuley
535,45,F,educator,80302,35-49,Lois Schlau
536,38,M,engineer,30078,35-49,Pamela Levy
537,36,M,engineer,22902,35-49,Landon Hooper
538,31,M,scientist,21010,25-34,Donna Davis
539,53,F,administrator,80303,50-64,Robert Moody
540,28,M,engineer,91201,25-34,Robert Thomas
541,19,F,student,84302,18-24,Jessie Jensen
542,21,M,student,60515,18-24,Francisco Lewis
543,33,M,scientist,95123,25-34,Tracey Ortiz
544,44,F,other,29464,35-49,Arthur Casper
545,27,M,technician,08052,25-34,Jeffrey Avery
546,36,M,executive,22911,35-49,Elva Bautista
547,50,M,educator,14534,50-64,Bryan Bibler
548,51,M,writer,95468,50-64,Mitchell Shaner
549,42,M,scientist,45680,35-49,Augusta Murphy
550,16,F,student,95453,Under 18,Mikel Mitchum
551,25,M,programmer,55414,25-34,Kevin Arias
552,45,M,other,68147,35-49,Todd Watts
553,58,M,educator,62901,50-64,Chad Jenkins
554,32,M,scientist,62901,25-34,Robert Huh
555,29,F,educator,23227,25-34,Cora Morales
556,35,F,educator,30606,35-49,Geraldine Bartley
557,30,F,writer,11217,25-34,Lisa Arment
558,56,F,writer,63132,50-64,Gabriel Ellis
559,69,M,executive,10022,65+,Katherine Pace
560,32,M,student,10003,25-34,Carolyn Fredrickson
561,23,M,engineer,60005,18-24,Michelle Riggs
562,54,F,administrator,20879,50-64,Drew Troxell
563,39,F,librarian,32707,35-49,Joyce Miller
564,65,M,retired,94591,65+,Daniel Porter
